job_id,job_title,company,job_location,role_category,job_level,job_type,first_seen,source,month,quarter
JOB-00001,Analytics Analyst,Tokopedia,"Jakarta, Indonesia",Data Analyst,Associate,Freelance,2024-05-20,Kaggle-LinkedIn-Synthetic,5,2
JOB-00002,Business Data Analyst,Gojek,"Yogyakarta, Indonesia",Data Analyst,Associate,Full-time,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00003,Bi Analyst,OCBC,"Bandung, Indonesia",Data Analyst,Mid-Senior level,Part-time,2024-01-16,Kaggle-LinkedIn-Synthetic,1,1
JOB-00004,Business Data Analyst,Bank Mandiri,"Sydney, Australia",Data Analyst,Associate,Full-time,2024-11-04,Kaggle-LinkedIn-Synthetic,11,4
JOB-00005,Lead Data Analyst,Bukalapak,,Data Analyst,Director,Internship,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00006,Business Data Analyst,Standard Chartered,"Seoul, South Korea",Data Analyst,Mid-Senior level,Full-time,2024-05-22,Kaggle-LinkedIn-Synthetic,5,2
JOB-00007,Senior Data Analyst,OCBC,"New York, Ny",Data Analyst,Associate,Full-time,2024-05-22,Kaggle-LinkedIn-Synthetic,5,2
JOB-00008,Business Data Analyst,IBM,"Yogyakarta, Indonesia",Data Analyst,Associate,Full-time,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00009,Junior Data Analyst,Samsung,"Seattle, Wa",Data Analyst,Director,Full-time,2024-11-05,Kaggle-LinkedIn-Synthetic,11,4
JOB-00010,Data Analyst,Flipkart,"Tokyo, Japan",Data Analyst,Associate,Freelance,2024-03-04,Kaggle-LinkedIn-Synthetic,3,1
JOB-00011,Junior Data Analyst,Mckinsey,Hybrid - Jakarta,Data Analyst,Executive,Full-time,2024-11-12,Kaggle-LinkedIn-Synthetic,11,4
JOB-00012,Bi Analyst,Bukalapak,"Surabaya, Indonesia",Data Analyst,Mid-Senior level,Full-time,2024-01-24,Kaggle-LinkedIn-Synthetic,1,1
JOB-00013,Marketing Data Analyst,Netflix,"Kuala Lumpur, Malaysia",Data Analyst,Mid-Senior level,Internship,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00014,Marketing Data Analyst,Flipkart,Hybrid - Jakarta,Data Analyst,Entry level,Full-time,2024-07-05,Kaggle-LinkedIn-Synthetic,7,3
JOB-00015,Financial Data Analyst,Samsung,Singapore,Data Analyst,Associate,Full-time,2024-12-09,Kaggle-LinkedIn-Synthetic,12,4
JOB-00016,Data Insights Analyst,Apple,Remote,Data Analyst,Mid-Senior level,Full-time,2024-11-21,Kaggle-LinkedIn-Synthetic,11,4
JOB-00017,Lead Data Analyst,Telkom Indonesia,"Medan, Indonesia",Data Analyst,Entry level,Full-time,2024-08-24,Kaggle-LinkedIn-Synthetic,8,3
JOB-00018,Marketing Data Analyst,Bank Mandiri,Hybrid - Singapore,Data Analyst,Director,Internship,2024-06-15,Kaggle-LinkedIn-Synthetic,6,2
JOB-00019,Business Data Analyst,Amazon,"New York, Ny",Data Analyst,Mid-Senior level,Full-time,2024-07-24,Kaggle-LinkedIn-Synthetic,7,3
JOB-00020,Junior Data Analyst,Bank Bca,"Seoul, South Korea",Data Analyst,Entry level,Full-time,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00021,Analytics Analyst,OVO,"Austin, Tx",Data Analyst,Mid-Senior level,Contract,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00022,Senior Data Analyst,Astra International,Remote,Data Analyst,Mid-Senior level,Full-time,2024-05-06,Kaggle-LinkedIn-Synthetic,5,2
JOB-00023,Data Insights Analyst,OCBC,,Data Analyst,Mid-Senior level,Internship,2024-07-23,Kaggle-LinkedIn-Synthetic,7,3
JOB-00024,Business Data Analyst,Gojek,"Sydney, Australia",Data Analyst,Mid-Senior level,Full-time,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00025,Data Analyst,Tokopedia,"Bali, Indonesia",Data Analyst,Mid-Senior level,Full-time,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00026,Analytics Analyst,OCBC,Remote,Data Analyst,Associate,Internship,2024-02-02,Kaggle-LinkedIn-Synthetic,2,1
JOB-00027,Data Analyst Intern,Flipkart,Hybrid- Singapore,Data Analyst,Entry level,Full-time,2024-05-08,Kaggle-LinkedIn-Synthetic,5,2
JOB-00028,Analytics Analyst,Tokopedia,Hybrid - Singapore,Data Analyst,Mid-Senior level,Full-time,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00029,Analytics Analyst,IBM,"Yogyakarta, Indonesia",Data Analyst,Entry level,Full-time,2024-05-30,Kaggle-LinkedIn-Synthetic,5,2
JOB-00030,Senior Data Analyst,Flipkart,"Jakarta, Indonesia",Data Analyst,Associate,Full-time,2024-05-14,Kaggle-LinkedIn-Synthetic,5,2
JOB-00031,Lead Data Analyst,Spotify,Hybrid - Jakarta,Data Analyst,Executive,Internship,2024-06-01,Kaggle-LinkedIn-Synthetic,6,2
JOB-00032,Senior Data Analyst,Unilever,,Data Analyst,Mid-Senior level,Contract,2024-10-03,Kaggle-LinkedIn-Synthetic,10,4
JOB-00033,Bi Analyst,Accenture,,Data Analyst,Entry level,Full-time,2024-01-10,Kaggle-LinkedIn-Synthetic,1,1
JOB-00034,Financial Data Analyst,Pwc,"Kuala Lumpur, Malaysia",Data Analyst,Director,Internship,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00035,Bi Analyst,Netflix,"Surabaya, Indonesia",Data Analyst,Mid-Senior level,Full-time,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00036,Lead Data Analyst,Gojek,"Bali, Indonesia",Data Analyst,Mid-Senior level,Part-time,2024-12-03,Kaggle-LinkedIn-Synthetic,12,4
JOB-00037,Lead Data Analyst,Grab,Remote,Data Analyst,Director,Full-time,2024-09-27,Kaggle-LinkedIn-Synthetic,9,3
JOB-00038,Business Data Analyst,Bukalapak,,Data Analyst,Associate,Internship,2024-07-23,Kaggle-LinkedIn-Synthetic,7,3
JOB-00039,Associate Data Analyst,Linkaja,"Berlin, Germany",Data Analyst,Mid-Senior level,Full-time,2024-03-02,Kaggle-LinkedIn-Synthetic,3,1
JOB-00040,Business Data Analyst,Apple,,Data Analyst,Associate,Full-time,2024-01-11,Kaggle-LinkedIn-Synthetic,1,1
JOB-00041,Bi Analyst,Bank Mandiri,"Jakarta, Indonesia",Data Analyst,Entry level,Full-time,2024-02-06,Kaggle-LinkedIn-Synthetic,2,1
JOB-00042,Business Data Analyst,Apple,"Bandung, Indonesia",Data Analyst,Executive,Part-time,2024-06-18,Kaggle-LinkedIn-Synthetic,6,2
JOB-00043,Lead Data Analyst,Telkom Indonesia,"Bangkok, Thailand",Data Analyst,Executive,Full-time,2024-12-08,Kaggle-LinkedIn-Synthetic,12,4
JOB-00044,Business Data Analyst,Gojek,"Seoul, South Korea",Data Analyst,Entry level,Part-time,2024-10-22,Kaggle-LinkedIn-Synthetic,10,4
JOB-00045,Business Data Analyst,Lazada,"London, Uk",Data Analyst,Associate,Full-time,2024-04-07,Kaggle-LinkedIn-Synthetic,4,2
JOB-00046,Junior Data Analyst,OCBC,"Bandung, Indonesia",Data Analyst,Mid-Senior level,Full-time,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00047,Associate Data Analyst,Meta,,Data Analyst,Associate,Internship,2024-11-30,Kaggle-LinkedIn-Synthetic,11,4
JOB-00048,Data Analyst,Coca-Cola,"New York, Ny",Data Analyst,Director,Full-time,2024-02-25,Kaggle-LinkedIn-Synthetic,2,1
JOB-00049,Business Data Analyst,Bukalapak,"Tokyo, Japan",Data Analyst,Entry level,Full-time,2024-08-17,Kaggle-LinkedIn-Synthetic,8,3
JOB-00050,Data Analyst Intern,Traveloka,"Bangkok, Thailand",Data Analyst,Director,Full-time,2024-08-24,Kaggle-LinkedIn-Synthetic,8,3
JOB-00051,Junior Data Analyst,Standard Chartered,"Tokyo, Japan",Data Analyst,Director,Internship,2024-02-20,Kaggle-LinkedIn-Synthetic,2,1
JOB-00052,Analytics Analyst,Google,"Surabaya, Indonesia",Data Analyst,Associate,Full-time,2024-05-01,Kaggle-LinkedIn-Synthetic,5,2
JOB-00053,Data Analyst Intern,OVO,"Amsterdam, Netherlands",Data Analyst,Entry level,Full-time,2024-04-19,Kaggle-LinkedIn-Synthetic,4,2
JOB-00054,Data Analyst,Grab,"Austin, Tx",Data Analyst,Entry level,Internship,2024-01-02,Kaggle-LinkedIn-Synthetic,1,1
JOB-00055,Marketing Data Analyst,Flipkart,"San Francisco, Ca",Data Analyst,Associate,Full-time,2024-08-04,Kaggle-LinkedIn-Synthetic,8,3
JOB-00056,Senior Data Analyst,Bukalapak,"San Francisco, Ca",Data Analyst,Director,Full-time,2024-04-21,Kaggle-LinkedIn-Synthetic,4,2
JOB-00057,Bi Analyst,Meta,"New York, Ny",Data Analyst,Associate,Full-time,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00058,Bi Analyst,Lazada,"Sydney, Australia",Data Analyst,Mid-Senior level,Full-time,2024-09-28,Kaggle-LinkedIn-Synthetic,9,3
JOB-00059,Data Analyst,Dana,"Surabaya, Indonesia",Data Analyst,Executive,Full-time,2024-04-05,Kaggle-LinkedIn-Synthetic,4,2
JOB-00060,Bi Analyst,Apple,Remote,Data Analyst,Entry level,Full-time,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00061,Junior Data Analyst,Telkom Indonesia,"Seoul, South Korea",Data Analyst,Associate,Full-time,2024-10-31,Kaggle-LinkedIn-Synthetic,10,4
JOB-00062,Bi Analyst,Netflix,"London, Uk",Data Analyst,Mid-Senior level,Full-time,2024-07-03,Kaggle-LinkedIn-Synthetic,7,3
JOB-00063,Marketing Data Analyst,Bank Bca,Hybrid - Singapore,Data Analyst,Mid-Senior level,Full-time,2024-06-09,Kaggle-LinkedIn-Synthetic,6,2
JOB-00064,Marketing Data Analyst,Coca-Cola,,Data Analyst,Mid-Senior level,Full-time,2024-12-09,Kaggle-LinkedIn-Synthetic,12,4
JOB-00065,Associate Data Analyst,Accenture,"Surabaya, Indonesia",Data Analyst,Mid-Senior level,Full-time,2024-01-05,Kaggle-LinkedIn-Synthetic,1,1
JOB-00066,Bi Analyst,Spotify,"Surabaya, Indonesia",Data Analyst,Director,Full-time,2024-10-02,Kaggle-LinkedIn-Synthetic,10,4
